Player Name,Goals Conceded by team per season,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,49,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A58,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR48,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Romelu Lukaku,44,EVE,EPL,F,37,3267,36,1,2,3,0,0,25,6,0,6,0,110,55,0,45,6,47,8,41,0,4,10,7,33,34,632,965,6,136,84,63,242,0,0,80,48,24,30,7,1,0,0,88,0,1518,189,305,346,499,0,71,0,584,23,1,1,0,0,0,0,0,0,21,6,1,1,42,12,0,0,0,0,0,0,0,27,26,0,20,5,0,36,7,18,95
Joe Hart,66,TOR,SERI,G,36,3240,36,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,1,1,0,0,769,1116,0,1,302,1,4,5,2,0,0,0,0,0,0,0,0,0,0,1516,1,25,2,131,0,5,0,362,131,0,0,0,0,0,0,0,0,0,0,0,0,62,5,104,70,34,29,0,6,0,40,40,21,291,0,1,0,0,0,1
Kamil Glik,31,ASM,FRAN,D,36,3240,36,0,0,6,0,0,6,2,0,0,2,24,11,61,4,2,5,4,2,0,20,24,16,35,18,1250,1525,2,65,150,0,105,0,1,24,11,6,0,0,0,1,0,3,0,1969,39,84,100,306,4,28,1,302,202,0,0,0,0,0,0,0,0,4,0,0,0,29,16,0,0,0,0,0,0,0,246,234,0,139,1,1,3,2,6,0
Thibaut Courtois,33,CHE,EPL,G,36,3240,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,524,792,0,7,248,0,8,0,2,0,0,0,0,0,0,0,0,0,0,1097,0,6,2,60,0,6,0,272,63,0,0,0,0,0,0,0,0,0,0,0,0,28,16,68,43,24,13,1,2,0,23,23,17,172,0,0,0,0,0,0
Matthew Lowton,55,BRN,EPL,D,36,3240,36,0,0,9,0,0,0,2,0,2,0,6,2,65,115,27,30,3,26,2,28,101,69,34,21,725,1086,26,54,188,24,196,0,2,4,2,0,2,0,0,0,0,15,0,2158,19,169,129,379,27,195,2,653,129,0,0,0,0,2,1,0,0,9,0,0,0,53,9,0,0,0,0,1,0,0,175,166,0,117,1,0,0,1,0,30
David Lopez,50,ESP,LIGA,M/D,36,3240,36,0,0,3,0,0,3,2,0,2,0,17,9,66,3,1,13,1,11,0,18,92,65,23,33,1360,1719,1,70,218,11,202,0,0,14,7,3,3,2,0,0,0,11,0,2222,30,143,90,475,7,24,1,419,251,0,0,0,0,0,0,0,0,6,0,0,0,42,11,0,0,0,0,0,0,0,158,156,0,150,0,0,0,1,2,15
Marc-Andre ter Stegen,37,BAR,LIGA,G,36,3240,36,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,973,1198,0,2,303,1,7,2,3,0,0,0,0,0,0,0,0,0,0,1555,0,8,3,29,0,2,0,237,29,0,0,0,0,0,0,0,0,0,0,0,0,33,13,122,65,56,25,0,0,0,16,15,5,228,0,0,0,0,0,1
Danijel Subasic,31,ASM,FRAN,G,36,3240,36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,8,575,911,0,8,305,2,15,2,0,0,0,0,0,0,0,0,0,0,0,1209,0,18,0,143,0,14,0,344,144,0,0,0,0,0,0,0,0,1,0,0,0,28,17,84,55,27,14,0,4,2,19,17,7,249,0,0,0,0,0,2
Pichu Cuellar,72,SPO,LIGA,G,36,3240,36,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,9,509,1051,0,17,367,0,24,3,1,0,0,0,0,0,0,0,0,0,0,1422,0,73,8,225,0,8,0,550,226,0,0,0,0,0,0,0,0,0,0,0,0,69,7,127,72,53,38,0,8,2,44,43,26,306,0,0,0,0,0,0
Mario Gaspar,33,VIL,LIGA,D,36,3240,36,0,0,6,0,0,0,3,1,3,0,34,11,71,74,18,23,3,19,1,11,101,65,44,16,1164,1505,18,60,169,15,190,0,0,27,7,0,7,4,0,0,0,15,0,2493,61,289,148,591,25,99,0,521,145,0,0,0,0,0,0,0,0,23,0,0,0,32,15,0,0,0,0,1,0,0,112,107,0,76,0,0,1,0,0,35
