Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Berat Djimsiti,ATA,SERI,D,33,2629,28,5,5,8,0,0,0,3,0,0,3,20,3,62,9,2,22,5,19,0,20,41,29,31,26,1520,1739,2,77,192,10,153,1,0,18,3,0,2,0,0,0,0,9,0,2164,51,329,89,716,6,36,1,268,145,0,0,0,0,0,0,0,0,2,0,0,0,34,7,0,0,0,0,0,0,0,83,83,0,71,0,0,1,1,0,13
Omar Colley,SAM,SERI,D,29,2590,28,1,0,6,0,0,2,0,0,0,0,12,3,68,5,1,2,0,2,0,29,28,16,34,23,1096,1351,1,75,151,2,126,0,1,12,3,2,0,0,0,0,0,1,0,1719,22,112,85,323,0,27,3,272,178,0,0,0,0,0,0,0,0,0,0,0,0,40,6,0,0,0,0,0,0,0,133,133,0,128,0,0,1,0,2,3
Kyle Bartley,WBA,EPL,D,30,2584,28,2,1,4,0,0,3,1,0,0,1,14,5,38,1,0,7,2,6,0,35,27,16,30,8,638,827,0,107,137,4,144,1,0,13,5,3,1,0,0,0,0,2,0,1198,41,68,100,174,1,8,1,207,91,0,0,0,0,0,0,0,0,2,0,0,0,53,4,0,0,0,0,1,0,0,158,158,0,52,0,0,5,2,2,4
Fabinho,LIV,EPL,M,30,2564,28,2,1,6,0,0,0,0,0,0,0,10,1,44,1,0,4,0,4,0,10,58,31,29,27,1904,2108,0,54,208,7,146,0,1,5,1,0,5,0,0,0,1,7,0,2445,13,193,119,706,1,30,0,235,230,0,0,0,0,0,0,0,0,0,0,0,0,29,11,0,0,0,0,2,0,0,65,65,0,98,0,0,0,0,0,11
Rob Holding,ARS,EPL,D,30,2558,28,2,1,2,0,0,0,1,0,1,0,14,2,24,2,1,4,0,3,0,27,43,20,25,5,1568,1802,1,72,138,8,127,0,0,12,2,0,2,0,0,0,0,6,1,2132,22,151,112,466,1,19,1,264,204,0,0,0,0,0,0,0,0,3,0,0,0,26,11,0,0,0,0,0,0,0,119,119,0,92,0,0,2,0,0,11
Rick Karsdorp,ROM,SERI,M/D,34,2548,28,6,9,2,0,0,1,6,0,6,0,13,4,30,55,11,26,10,20,0,1,36,23,36,13,917,1094,11,7,143,19,75,0,0,11,4,1,2,0,0,0,0,12,0,1565,44,213,101,453,2,82,0,273,51,0,0,0,0,0,0,0,0,20,0,0,0,39,7,0,0,0,0,0,0,0,31,31,0,40,1,0,3,0,1,25
Fernando,SEV,LIGA,M,31,2546,28,3,3,6,0,0,3,4,0,4,0,6,4,41,1,1,19,5,14,1,11,54,28,40,16,1413,1575,1,55,191,11,135,0,0,4,3,2,2,1,1,0,0,10,0,1903,13,203,112,594,8,17,0,213,155,0,0,0,0,0,0,0,0,4,0,0,0,27,10,0,0,0,0,0,0,0,62,62,0,86,3,0,1,1,1,19
Raheem Sterling,MCI,EPL,F,31,2537,28,3,3,4,0,0,10,7,0,7,0,70,28,15,20,1,40,10,32,0,0,21,10,36,41,959,1113,1,9,99,66,137,0,0,58,26,9,12,2,1,0,1,83,0,1641,247,429,201,770,0,58,0,386,17,1,0,1,0,0,0,0,0,26,3,1,1,23,13,0,0,0,0,0,0,0,4,4,0,10,0,0,9,13,7,122
Joao Moutinho,WOL,EPL,M,33,2533,28,5,9,3,1,1,1,1,0,0,1,14,4,47,116,28,46,0,25,20,3,75,40,44,23,1521,1721,8,18,182,13,129,0,0,3,1,0,11,3,1,0,0,11,0,2139,8,383,134,857,4,151,0,326,141,0,0,0,0,24,6,101,63,12,1,0,0,40,4,0,0,0,0,1,0,0,24,24,0,76,2,0,0,0,0,18
Conor Gallagher,WBA,EPL,M,30,2531,28,2,3,11,0,0,2,2,0,1,1,29,7,27,66,11,20,1,13,5,8,81,41,43,63,725,890,5,23,185,30,196,0,0,10,3,1,19,4,1,0,0,36,0,1459,38,220,204,424,4,77,0,353,48,0,0,0,0,6,2,27,22,8,0,0,0,48,5,0,0,0,0,0,0,0,27,27,0,48,0,0,0,1,0,55
