Player Name,Team,Goals Conceded by team per season,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,30,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A66,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR43,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Jason Pun38on,CRY,55,EPL,M,10,569,6,4,3,5,0,0,0,0,0,0,0,10,2,5,20,5,5,0,2,3,0,13,4,14,3,200,238,1,4,27,4,24,0,0,4,2,0,6,0,0,0,0,15,0,337,10,64,41,125,0,29,0,77,14,0,0,0,0,3,1,15,14,3,1,0,0,14,0,0,0,0,0,0,0,0,4,4,0,10,0,0,0,2,0,5
Paul Baysse,GIR,48,FRAN,D,8,565,6,2,0,0,0,1,0,0,0,0,0,4,1,7,1,0,0,0,0,0,2,4,2,7,1,259,299,0,24,42,2,31,0,1,4,1,0,0,0,0,0,0,2,0,371,10,24,26,96,0,4,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1,0,0,38,38,0,27,0,0,0,1,0,2
Naranjo,LGN,51,LIGA,F,16,561,6,10,6,2,0,0,1,0,0,0,0,9,3,3,15,3,7,0,5,2,1,17,10,12,3,108,140,0,7,24,6,33,0,0,3,1,1,6,2,0,0,0,10,0,261,6,42,51,73,2,17,0,91,4,0,0,0,0,6,1,9,9,2,3,1,0,7,0,0,0,0,0,0,0,0,2,2,0,9,0,0,2,0,1,18
Lorenzo Crisetig,BOL,52,SERI,M,8,559,6,2,2,4,0,0,0,0,0,0,0,1,1,12,2,0,1,0,1,0,2,18,14,13,6,311,357,0,5,35,3,32,0,1,0,0,0,1,1,0,0,1,5,0,440,3,60,41,181,2,9,0,58,40,0,0,0,0,0,0,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,13,13,0,22,0,0,0,0,0,3
Jairo Samperio,LPM,74,LIGA,M,11,558,6,5,6,1,0,0,0,0,0,0,0,9,1,1,8,2,4,1,4,0,1,9,6,11,7,90,139,2,5,24,10,31,0,0,5,1,0,4,0,0,0,0,10,0,235,22,35,47,62,0,12,0,84,7,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,5,5,0,5,0,0,3,0,0,16
Simone 28agnoli,BOL,52,SERI,D,8,556,6,2,1,1,0,0,0,0,0,0,0,1,0,7,0,0,1,0,1,0,8,12,9,6,0,223,275,0,18,30,1,31,0,2,1,0,0,0,0,0,0,0,0,0,359,1,17,26,66,0,5,1,56,37,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,41,41,0,22,0,0,0,0,0,1
Stefan Simic,CRO,66,SERI,D,9,553,6,3,1,2,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0,3,13,8,10,10,162,203,0,9,27,0,32,0,0,2,1,0,0,0,0,0,0,0,0,300,4,8,19,40,3,4,0,48,27,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,41,41,0,18,0,1,0,0,0,1
Nemanja Maksimovic,VAL,38,LIGA,M,15,551,6,9,2,1,0,0,0,0,0,0,0,7,2,16,5,2,9,0,9,0,6,21,13,5,2,214,252,2,13,29,6,42,0,0,5,1,0,2,1,0,0,0,5,0,366,11,46,39,111,0,13,0,63,17,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,8,8,0,12,0,0,0,0,0,10
Raphael Guerreiro,BVB,47,BUND,M/D,9,545,6,3,3,0,0,0,1,1,1,1,0,9,6,13,24,4,9,1,7,1,0,10,8,2,8,295,352,2,2,20,8,28,0,0,6,4,1,3,2,0,0,0,7,0,516,21,91,30,191,0,31,0,118,14,0,0,0,0,3,0,14,13,3,0,0,0,10,0,0,0,0,0,0,0,0,8,8,0,7,0,0,0,2,0,17
Joa59m Andersen,SAM,60,SERI,D,7,545,6,1,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,4,8,3,3,4,366,419,0,17,33,0,29,0,1,2,0,0,1,0,0,0,0,2,0,500,4,27,7,97,0,3,0,56,40,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,41,41,0,36,0,0,0,0,0,0
